DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	BOIS DE BOULOGNE	Erable	20,57
Alignement	PARIS 11E ARRDT	Erable	14,12
Alignement	PARIS 12E ARRDT	Noisetier de Byzance	35,42
Alignement	PARIS 15E ARRDT	Noisetier de Byzance	36,84
Alignement	PARIS 4E ARRDT	Copalme	20
Alignement	PARIS 19E ARRDT	Platane	30,56
Alignement	PARIS 4E ARRDT	Platane	62,5
Alignement	PARIS 11E ARRDT	Troene	22,92
Alignement	PARIS 18E ARRDT	Robinier	100
Alignement	PARIS 1ER ARRDT	Platane	40,48
Alignement	PARIS 18E ARRDT	Platane	31,11
Alignement	PARIS 16E ARRDT	Platane	41,67
Alignement	PARIS 13E ARRDT	Micocoulier	71,43
Alignement	PARIS 13E ARRDT	Platane	25
Alignement	PARIS 16E ARRDT	Cerisier à fleurs	21,88
Alignement	PARIS 7E ARRDT	Platane	85,71
Alignement	PARIS 13E ARRDT	Marronnier	18,06
Alignement	PARIS 17E ARRDT	Tilleul	51,6
Alignement	PARIS 4E ARRDT	Robinier	50
Alignement	PARIS 15E ARRDT	Micocoulier	90
Alignement	PARIS 20E ARRDT	Marronnier	42
Alignement	PARIS 7E ARRDT	Marronnier	27,86
Alignement	PARIS 17E ARRDT	Noisetier de Byzance	15,56
Alignement	PARIS 18E ARRDT	Magnolia	14,58
Alignement	PARIS 15E ARRDT	Cerisier à fleurs	34,07
Alignement	PARIS 16E ARRDT	Sophora	30
Alignement	PARIS 16E ARRDT	Platane	46,48
Alignement	PARIS 16E ARRDT	Platane	100
Alignement	PARIS 18E ARRDT	Erable	24
Alignement	PARIS 12E ARRDT	Charme	150
Alignement	PARIS 17E ARRDT	Micocoulier	50
Alignement	PARIS 17E ARRDT	Platane	29,55
Alignement	PARIS 15E ARRDT	Poirier à fleurs	38,24
Alignement	PARIS 3E ARRDT	Chêne	43,73
Alignement	PARIS 17E ARRDT	Micocoulier	57,04
Alignement	PARIS 13E ARRDT	Marronnier	22,61
Alignement	PARIS 18E ARRDT	Platane	100
Alignement	PARIS 20E ARRDT	Sophora	34,62
Alignement	PARIS 3E ARRDT	Sophora	100
Alignement	PARIS 19E ARRDT	Platane	175
Alignement	PARIS 15E ARRDT	Arbre de Judée	40
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	21,43
Alignement	PARIS 17E ARRDT	Magnolia	7,76
Alignement	PARIS 16E ARRDT	Noisetier de Byzance	22,86
Alignement	PARIS 7E ARRDT	Marronnier	40
Alignement	PARIS 8E ARRDT	Marronnier	69
Alignement	PARIS 16E ARRDT	Platane	5,43
Alignement	PARIS 16E ARRDT	Sophora	33
Alignement	PARIS 10E ARRDT	Tilleul	60
Alignement	PARIS 14E ARRDT	Sophora	33,33
Alignement	PARIS 20E ARRDT	Tilleul	39,13
Alignement	PARIS 16E ARRDT	Sophora	31,36
Alignement	PARIS 13E ARRDT	Micocoulier	73,33
Alignement	PARIS 20E ARRDT	Tilleul	42,86
Alignement	PARIS 14E ARRDT	Platane	47,5
Alignement	PARIS 8E ARRDT	Marronnier	20,14
Alignement	PARIS 13E ARRDT	Marronnier	18,67
Alignement	PARIS 13E ARRDT	Tulipier	29,47
Alignement	PARIS 9E ARRDT	Platane	46,67
Alignement	PARIS 12E ARRDT	Platane	587,5
Alignement	PARIS 19E ARRDT	Tilleul	25,86
Alignement	PARIS 5E ARRDT	Charme	24,14
Alignement	PARIS 13E ARRDT	Marronnier	25,81
Alignement	PARIS 14E ARRDT	Frêne à fleurs	20,83
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	23,53
Alignement	PARIS 10E ARRDT	Orme	26,09
Alignement	PARIS 20E ARRDT	Copalme	14,29
Alignement	PARIS 17E ARRDT	Tilleul	37,04
Alignement	PARIS 17E ARRDT	Platane	16,43
Alignement	PARIS 11E ARRDT	Prunier à fleurs	30,77
Alignement	PARIS 11E ARRDT	Tilleul	42,86
Alignement	PARIS 1ER ARRDT	Charme	12,5
Alignement	PARIS 5E ARRDT	Platane	21
Alignement	PARIS 15E ARRDT	Cerisier à grappes	41,67
Alignement	PARIS 12E ARRDT	Pommier	8,82
Alignement	PARIS 20E ARRDT	Savonnier	36,92
Alignement	BOIS DE BOULOGNE	Platane	283,33
Alignement	PARIS 20E ARRDT	Marronnier	14,47
Alignement	PARIS 12E ARRDT	Platane	25,86
Alignement	PARIS 13E ARRDT	Platane	29,09
Alignement	PARIS 3E ARRDT	Chêne	100
Alignement	PARIS 6E ARRDT	Tilleul	37,5
Alignement	PARIS 14E ARRDT	Chêne	19,09
Alignement	PARIS 11E ARRDT	Micocoulier	20
Alignement	PARIS 13E ARRDT	Micocoulier	38,18
Alignement	PARIS 10E ARRDT	Platane	82,78
Alignement	PARIS 20E ARRDT	Platane	41,67
Alignement	PARIS 13E ARRDT	Tilleul	33,33
Alignement	PARIS 19E ARRDT	Erable	27,27
Alignement	PARIS 17E ARRDT	Micocoulier	16,89
Alignement	PARIS 5E ARRDT	Copalme	7,74
Alignement	PARIS 14E ARRDT	Tilleul	22,22
Alignement	PARIS 10E ARRDT	Orme	45,09
Alignement	PARIS 8E ARRDT	Frêne	23,69
Alignement	PARIS 18E ARRDT	Erable	15,43
Alignement	PARIS 20E ARRDT	Chêne	26,9
Alignement	PARIS 12E ARRDT	Tilleul	50
Alignement	PARIS 11E ARRDT	Micocoulier	52,38
Alignement	PARIS 18E ARRDT	Platane	25
